taskid,country,hate_definition
30,ger,"Jede Rede, die andere Menschen bedroht und zur Gewalt  aufruft oder Gewalttaten verharmlost"
31,ger,"Eine nicht-argumentative Form der Kommunikation, die Vernichtungswillen impliziert."
32,ger,Wollt ihr den totalen Krieg?
33,ger,aufputschende abwertende Rede
34,ger,Ohio v Brandenburg
35,ger,Offensive Diffamierung und / oder Aufruf zu Gewalt
36,ger,"Wenn jemand z.B. als ""Nigger"", ""Judenschwein"" oder als ""schwule Sau"" bezeichnet wird."
37,ger,Wo Menschen dazu aufgefordert werden anderen Menschen etwas anzutun.
38,ger,Alles was gegen das AGG verstößt. Drohungen. Menschen die mit Lügen gegen andere aufhetzen.
39,ger,unsere Politiker machen das sehr  gut sie versprühen den Hass auf Deutschland sehr gut.
40,ger,"Alles was dazu aufruft, anderen Menschen Schaden / Gewalt zukommen zu lassen"
41,ger,"Hassrede ist ein persönlicher Angriff oder Bedrohungen, nicht Sarkasmus oder Satire"
42,ger,Hassrede gibt es nicht. Entweder eine Äußerung ist strafbar oder sie ist es nicht.
43,ger,Jemand wird mit Gewalt bedroht oder aggressiv ausgeschlossen oder diffamiert
44,ger,der Versuch Menschen zu schaden
45,ger,"Wenn jemand zB. sagt ""Alle .... sollten sterben"" das ist für mich eine Hassrede. Aber wenn mich in Internet jemand als Arschloch bezeichnet, so was interessiert mich sehr wenig. Das ist nur ein Schwachsinn Internet. Auf so was lege ich kein wert drauf. Die sind leute die ich nie gesehen habe und werde nie sehen. Was interessiert mich so eine Person."
46,ger,"Menschenverachtende Äußerungen, die zu Gewalt und Diskriminierung gegen Personengruppen aufrufen (explizit und implizit)"
47,ger,"Persönlicher Angriff mit hetzerischer Sprache, die man auch im echten Leben als Bedrohung für sich und andere verstehen würde.
""Pass bloß auf, was du sagst, ich weiß, wo ich dich finde.""
""Wenn wir die Macht haben, stellen wir solche wie dich an die Wand.""
""Die Ukrainer haben schon 8 Jahre lang Genozid gegen die Russen betrieben. Jetzt wird abgerechnet.""
""Euer Sex ist unnatürlich, es war richtig, euch ins KZ zu stecken.""
""Wieder viel Dünger für die Sonnenblumen"" (Kommentar auf Tötung Russischer Soldaten)
""Die Ukrainer richten gefangene Russen hin"" (Kommentar zu einem Video, das eine Notwehrhandlung zeigt)"
48,ger,"Hassrede ist leicht erkennbar. Ad personam, herabsetzend, respektlos. Die Beispiele, die hier gebracht wurden, sind recht albern und harmlos."
49,ger,"Verunglimpfung einer Gruppe von Menschen aufgrund bestimmter Eigenschaften ( Sexualität, politische Einstellung, Hautfarbe, Beruf etc)"
50,ger,"Wenn extreme Gewalt angedroht wird. Wenn mich jemand erschlagen, vergewaltigen und abschlachten will."
51,ger,"So etwas gibts nicht. Das sind ausgedachte Worte, die Leute benutzten, die es nicht verkraften, wenn ihnen in Stammtischmanier kontra gegeben wird. 

Mobbing ist ein echte Problem. Hassrede ein erfundenes. Nur dass ihr wisst, wie ich da unterscheide."
52,ger,"Wenn Menschen aufgrund ihrer Hautfarbe, ihrer Religion, ihrer sexuellen Orientierung oder ihres Geschlechts diskriminiert werden, ist das in meinen Augen Hassrede"
53,ger,"Hassrede ist für mich wenn Menschen wegen Behinderung, Hautfarbe, Herkunft, Geschlecht, Sexualität, Religion oder politischer Einstellung verurteilt werden. Oder überhaupt wegen etwas verurteilt werden für das sie nichts können oder was ihre freie Wahl ist und gegen keine Gesetze verstößt.
Dazu zählen Aufrufe zur Gewalt, Drohungen und Beleidigungen.
Diese Kriterien müssen universell sein und auf alle Seiten zutreffen, egal von welchem politischem Spektrum sie kommen."
54,ger,"Wenn , jemand seine Meinung dazu sagt ,ist es Ordnung.
Politiker, die wo über ihre Leute pöbeln, dass sind Hassreden"
55,ger,"Schauen Sie sich doch mal an, was in den letzten 1,5 Jahren gegen Ungeimpfte geäußert wurde, da haben Sie reichlich Hassreden dabei."
56,ger,"wenn man jemanden umbringen will, und es in sozial media vorher ankündigt. z.B. einen Politiker weil mir seine Vorgehensweise missfällt. Als Deutscher wird man z.B. auf social media mehr verurteilt als Migranten, wer hier leben will muss sich anpassen nicht umgekehrt. Hatte selber Auslandsaufenthalte da hat sich wegen meiner Person keiner angepasst. Ich musste mich an die Geflogenheiten des Landes anpassen"
57,ger,"Aussagen, die eine Person bedrohen, herabsetzen, entwürdigen, egal ob persönlich oder auf Grund ihrer Herkunft, Ethnie, Gechlecht, Rasse usw."
58,ger,"Der Begriff Hassrede sollte nicht mehr verwendet werden. Es gibt für mich ganz klare Grenzen, die eigentlich von unserem sehr guten Grundgesetz und BGB vorgegeben werden. Man darf Niemandem mit Gewalt für Leib und Leben drohen oder andere dazu auffordern. Wenn man beleidigt wird, kann man die Person doch blockieren und muss die Posts nicht mehr lesen."
59,ger,"Also das Wort "" Hassrede"" ist leider wiedermal so ein WORT was politisch genutzt und initiiert wurde um den politischen Gegner Wort Tot zu machen, um ihn zu sanktionieren um seine Meinung ein zu schränken!! 
Darf man heutzutage nicht mehr KRITISIEREN, Kritisch aber auch mal hart formulieren?! Das ist doch die Frage!"
60,gbr,"Anything that’s directly hating on a race, Religion, gender, sexual orientation etc"
61,gbr,Something completely out of order threatening another person with actual harm
62,gbr,"Hate speech is merely an unpopular opinion someone doesn't like and therefore cries ""hate speech"""
63,gbr,"Debate is healthy. Anything that threatens or belittles isnt okay, once it passes a certain level"
64,gbr,Any speech that promotes violence00
65,gbr,"""As opposed to those - I really like you - sort of crimes"" Gene Hunt, Life on Mars"
66,gbr,Incitement to violence
67,gbr,Derogatory and/ or inflammatory speech towards others.
68,gbr,"It’s an entirely subjective term.  It means nothing to me, I do not use this phrase."
69,gbr,"The term is too broad for a simple definition. 
Who decided what ‘hate’ is?"
70,gbr,Language that is used to attack a group of people.
71,gbr,Free speech
72,gbr,Direct threats of violence
73,gbr,I think hate speech is designed to hurt someone.
74,gbr,Hateful intentions eg threatening to kill someone
75,gbr,I think Hate speech is when you use derogatory language directed at a persons characteristic ( not just those in the EA-0) to specifically incite or threaten violence.
76,gbr,"Any speech that homogenises a whole group of people by reference to a chatacteristic that they share but have nocontrol over and seriously claims that they share negative traits simply for being part of that group, eg ""all gay people are ****"",  ""all black people are ****"". Also false accusations of a serious nature such as claiming people are paedophiles, or insults that are simply insults aimed at an individual without any surrounding argument, eg ""you're an idiot""."
77,gbr,"I wouldn’t, I am not sure it is a useful term. It is a form of political doublespeak used by petit-fascists to try and justify censorship and deplatforming people who they find offensive. As the HoL acting as the Supreme Court ruled decades ago, there is no Free Speech without the right to offend. Or to paraphrase Voltaire, to defend free speech we must defend the controversial and the despicable; the point of free speech is not to talk about the weather."
78,gbr,"Speech designed to build hatred or encourage violence against a group for a range of qualities such as sexuality, gender, sex, ethnic background, basically qualities that they have no control over although I'd extend it to religion in some cases."
79,gbr,"To me, Hate speech would be advocating and promoting violence against specific people, whether it be on religious, sexual, political or racial."
80,gbr,Directly targeted speech designed to install hatred or encourage violence against a group of individuals
81,gbr,"Comparing groups to animals, trash/garbage/dirt
Dehumanising language
Threats of violence towards a group
Spreading mis/disinformation to incite hatred"
82,gbr,"For me, it's anything which is based on generalised stereotypes or preconceived ideas, often untrue. Eg all men are... all women.... all white people are... these sort of statements are typically hate speech in my experience"
83,gbr,"I define the word as ridiculous.  

People have hated each other for centuries for different reasons.  People will always disagree. Shutting down the flow of free speech an conversation achieves nothing useful and actually creates further hate"
84,gbr,This is hard because I didn’t see any of the conversations as hate speech only people having different views. I do believe there is hate speech but hate speech for me would be along these ‘I hate people who live in xxxx they need to go back to where they came from’. That to me is hate speech.
85,gbr,"I don't recognise the concept of ""hate speech"" or ""offensive speech'. By classifying anything as ""hate speech"" we're limiting freedom of expression. Many of the remarks displayed in this questionnaire are in language that I wouldn't use even if I agree with them but whenever such language is used I ignore it and that's what all of us can do. Those who claim to be hurt by such remarks shouldn't be using social media."
86,gbr,"Speech that incites or aggrandises harm to an individual or group, or speech that uses derogatory terms which serve to dehumanise an individual or group."
87,gbr,"Any comment made in bad faith, that serves no purpose other than ti antagonise a group or particular person."
88,gbr,"Something that is nasty and only said out of prejudice to a certain type of person, whether it’s age, sex,disability, colour, sex or religion. Saying things that are cruel and not true just to hurt someone."
89,gbr,"A brutal direct verbal attack on someone's identity, beliefs, sexuality, gender, race, nationality or religion."
90,indeng,Hate speech is intentional and ill motivated
91,indeng,Anything that calls for violence against someone
92,indeng,Incitement of violence
93,indeng,Anything aggressive
94,indeng, Hate speech is what a person says determined against a particular group of people or society
95,indeng,A speech which deliberately attacks a person in harsh words.
96,indeng,People who don't respect the boundaries of people and their beliefs.
97,indeng,...
98,indeng,"Extremely offensive to a person, race or a community. Prejudiced and intending to do harm."
99,indeng,"Anything that is talked badly about ones country, religion, system , race, issuing death threat etc"
100,indeng,Some thing that attacks a person's character and his family's
101,indeng,Cursing others religion
102,indeng,Commenting or demeaning someone's personal life
103,indeng,Direct incitement or indictment.
104,indeng,Comments that attacks someone's morality
105,indeng,I try to ignore because their is no way to argue with brainless people. They what they want not considering they talking rubbish.
106,indeng,For me I think that when people show their hatred towards someone else's viewpoint which they don't agree
107,indeng,"Anything that violates someone's fundamental rights and threatens them physically, mentally or in any other form"
108,indeng,Violent threat issued against a group of people that can trigger violence or harmful behaviour in society
109,indeng,"offensive discourse or comments targeting a group or an individual based on race, religion, caste, gender etc."
110,indeng,"Any content that is personal attack on any community, person, caste, religion race etc, based on intolerance is hate in my opinion."
111,indeng,"As long as a person don't threaten another person's family or life, it's not considered as hate speech in my opnion."
112,indeng,"A speech that aims to look down upon a group or an individual and insinuates I'll feeling towards that group or person because of that groups/persons belief system, gender, race or nationality"
113,indeng,Hate speech is getting personal about some one in regards to caste religion gender age or even social status
114,indeng,Hate speech could be something that has the capability of affecting sentiments of a group of people/individual and brings in a sense of threat. Again a person's sentiments can get hurt for multiple reasons that might not affect others. So graveness of the issue is the matter of concern.
115,indeng,I don't define hate speech as cruelty directed towards another person or persons belonging to a group of similar defining characteristics.
116,indeng,"To me Hate speech is anything said that humilates the dignity of a person , community or a state on the whole.Bad degrading words which cross the line of decency ,swearing on a public platform is a big No."
117,indeng,"A call to committ tangible hurt - physical, economical or social - to a group or person, without cause.

Villanising heroes (eg: villanising soldiers), lionizing  villains (eg: lionising hitler), trivialising deep societal and generational trauma (eg: Holocaust denial).


However, i think only the first type should be criminalized. The second type, however hurtful,  should be allowed, because freedom of speech is immutable."
118,indeng,"Social Media has become a hub for hate speech, Noone pays concern about others' personal space. Sometimes these are attended and I believe tackling this is unfathomable."
119,indeng,"1. Threats of death/sexual assault/bodily harm
2. Slurs on race/ethnicity/gender/sexual orientation etc. 
3. Grave insults to faith/nationality etc."
120,phleng,"Lamankndlbosn bbs s  d

"
121,phleng,Hate speech defame an individual and degrades his dignity
122,phleng,Any verbal personal attack.
123,phleng,"Shubham Kumar
"
124,phleng,Abusive language against a person or group of people. Threats of violence.
125,phleng,Degrading a person reputations and judging them.
126,phleng,Personal insults that are not related to issues or views
127,phleng,"Offensive, abusive, pessimistic, bullying and targeting a religion, region, person,place or a group"
128,phleng,Defamatory
129,phleng,No comments
130,phleng,"Hate Speech are those that offend, insult, downgrade one's self"
131,phleng,According to me hate speech is using bad words or dark sarcasm.
132,phleng,Hate speech is personal attack.
133,phleng,Life threatening
134,phleng,Words that show immediate dislikeness towards me amd can influence others to hate/dislike me.
135,phleng,Hate speech is any derogatory remark made towards an individual or group which does not signify a healthy debate or discussion.
136,phleng,"Hate speeches is morally and legally affects the particular people's opinions, idealogy, policy, believes, culture and tradition. We are free to express our thoughts and opinions but our expressions should not affect another people's feelings and emotions."
137,phleng,I think hate speech is any kind of remark against anything that is made against someone or some community over views that do not match with your own.
138,phleng,You have to be there to see it in the way of the the other day and I have been trying to call you back I have a few more things to do instead of the other way and I have to go to the other email address and password to the laptop and it is a go for
139,phleng,"""Hate speech"" is a highly subjective term. Unfortunately this is just used to define speech one hates."
140,phleng,"Hate speech for me is defined if the statement is defamatory or libelous that meant to destroy the image of anyone, or falsely accuse them of something.

Hare speech also include stereotypical remarks on a group of people that generalize the entirety of their demographic, hurting the reputations of people in it."
141,phleng,"Hate on groups of people (e.g. race, sexual orientation, political, etc) specially those that encourage violence."
142,phleng,"Pointing fingers at someone is very simple, but being in that same situation is way more different, I know where the hate coming from, like Eating meat for example, eating or vegetables is totally personal choice, vegans don't have to throw the blame about destroying the planet on meat eaters, because no one have the right to say to someone what to eat, same goes to meat eaters as well, you don't have to shame vegans constantly, some funny meme is okay."
143,phleng,"It’s simply hating on a person or a group of people, belief, and faith etc without deeply knowing about the roots and circumstances around a situation during the hour."
144,phleng,Hate Speech is when there is offensive and hate language that is used against a particular individual or a group on social media based on a particular subject or an opinion that is shared on the social media platform by an individual or a group.
145,phleng,"A personal insult, especially if 4 letter words are used - not just a political or social disagreement."
146,phleng,"Hate speech is act where an individual or group is only focus to blindly hurt anyone either physically, mentally or emotionally just because of something they strongly disagree upon. These people who constitutes hate speech to others either felt threatened or has the superiority complex idea that their race, role or what they believe in is always on the top of everything else."
147,phleng,"When the speech put down someone's country, race, religion, their personal choice in life which do not hamper the safety or peace of others or talk about violence."
148,phleng,As anything that can cause severe mental impact and can cause others to mentally or physically harm the victims
149,phleng," Hate speech is subjective to each person. It is each persons responsibility to censure anything they find so offensive they become upset. Therefore there is no hate speech, just speech some, usually a small minority are offended by."
150,nig,"Speech that denigrates and threatens the spiritual, emotional and physical safety of others."
151,nig,Hate speech is an expression of unpleasant or negative thought about someone or something
152,nig,Speech that directly threatens physical safety of individuals.
153,nig,Talking down on another person or their opinions to make the other person look completely clueless
154,nig,Any content that insults or make jest of an individual or group practice.
155,nig,Any comment that attacks threatens or compromises the safety or dignity of a person or group.
156,nig,"Threatening speech or writings that express prejudice in terms of sex, tribe, race and the likes"
157,nig,Statement made by people that can hurt others or damage their personalities
158,nig,Hate speech is a menace. It can lead to depression.
159,nig,Hate speech is any form of verbal abuse against someone or a sect or a group of people
160,nig,Derogatory statements towards a personality
161,nig,I define hate speech as wicked words coming from bitter people.
162,nig,Hate speech are hateful and degrading words said to someone else
163,nig,"Unpleasant statement against me because of my faith, race or ethnicity"
164,nig,Any speech that tend to cause unrest and hatred
165,nig,"Hate speech involves bringing down people value and opinion sometimes, it entails a threat to humans live."
166,nig,"Any demeaning, dehumanizing speech targeted at a (minority) group, and is capable of inciting (physical and psychological) violence and attack."
167,nig,"Hate speech is an intended unwanted comment against a person's race, ethnicity, colour and or region or religion"
168,nig,"I would define hate speech as any post or comment that that is targeted to undermine, belittle, criticize and incite others to aggression or violence."
169,nig,"A hate speech is any speech that threatens or tries to degrage a person, his race or tribe, religious beliefs, profession etc.
Most importantly, any speech that invites violence against a person, group or race is essentially a hate speech!"
170,nig,"Hate speech offends normal sensibility, advances racial, sectional, gender, religious, and person attacks against others;  is abusive and profiles others negatively."
171,nig,"My perception of hate speech is any speech, spoken or written, that paints a person group or ethnicity, constituted authority orgovernment in bad light, capable of instigating violence and unrest."
172,nig,"For me, hate speech is a statement or a social media post created to speak ill, harass, embarrass or attack an individual or a group of people (race, tribe, religion, political views, etc) because one is contrary to or does not agree with their opinions and views on a particular issue. 

Thank you Sir."
173,nig,Hate speech to me is something you say knowing fully well that someone could get hurt or feel bad as a result of such statement and not even minding
174,nig,"A speech that deliberately intends to hurt people, not as constructive criticism, but as a source of dark spite and flaw."
175,nig,"Personally, I feel that a speech that directly attacks a person or group of persons on the basis of origin, race, nationality, ethnicity, color, religion, gender, sexual orientation, or disability with the intent of obvious harm is hateful"
176,nig,"Hate speech is a public speech that expresses violence towards a person or group basesd on something such as race, religion,etc"
177,nig,"Hate speech are speech that undermines a group or person for reasons of ethnicity, religious beliefs, race or colour."
178,nig,"Hateb speech to me is when you hate my religion, my tribe, my tradition ,my perception of general things of life"
179,nig,"Abusive or threatening speech or writing that express prejudice on the basis of ethnicity, religion, sexual orientation"
