ResponseId,country,hate_definition,translated_hate_definition,translated_hate_definition_cleaned
R_3OlhwQIm2dHNiMT,tur,"Fikir düşünce ve kişi hürriyetini kısıtlayıcı, karşı tarafın düşüncesine saygı duymayan barbar insan zihniyeti. Kendini geliştirmemiz toplum yapısı. Tahammülsüzlük.",The barbarian human mentality that restricts ideas and personal freedom and does not respect the thought of the other party.Self -improvement is the social structure.Intolerance.,The barbarian human mentality that restricts ideas and personal freedom and does not respect the thought of the other party.Self -improvement is the social structure.Intolerance.
R_1F3WJ0GkQ3dgDO3,tur,Nefret söylemi başkalarını digerierine karşı nefret oluşturmak için bilinçli yapılan her tür davranış,Hate speech is all kind of behavior that is made consciously to create hatred against others,Hate speech is all kind of behavior that is made consciously to create hatred against others
R_1oGCpkhCPJxGVnb,tur,"Belirli bir dini, etnik, politik gruba, bir cinse, cinsel yönelime karşı hakaret ve ayrımcılık içeren, şiddeti ve ayrımcılığı körükleyen söz ve davranışlar. Kişiye değil, insanlığa karşı işlenen suçlar olduğunu, bu nedenle düşünce özgürlüğü kapsamında değerlendirilemeyeceğini düşünüyorum. Irkçılık gibi, homofobi gibi.","Words and behaviors that include insult and discrimination against a particular religion, ethnic, political group, a genus, sexual orientation, which fuels violence and discrimination.I think that there are crimes committed against humanity, not the person and therefore cannot be considered within the scope of freedom of thought.Like racism, like homophobia.","Words and behaviors that include insult and discrimination against a particular religion, ethnic, political group, a genus, sexual orientation, which fuels violence and discrimination.I think that there are crimes committed against humanity, not the person and therefore cannot be considered within the scope of freedom of thought.Like racism, like homophobia."
R_23VkRqQrbge1Q65,tur,"Bütün etnik kökenlere, derilerinin renklerine, farklı inanışlara, kendi halkına (muhaliflerine) karşı yapılan söylemler nefret söylemidir ve cezalandırılmalıdır.","The discourses made against all ethnic origins, the colors of their skin, different beliefs, their own people (their opponents) are hate speech and punished.","The discourses made against all ethnic origins, the colors of their skin, different beliefs, their own people (their opponents) are hate speech and punished."
R_3QFUjetqLycV9ja,tur,"Hakaret veya tehdit içeren söylemler. Irk, cinsiyet, din, dil, görünüş konusunda ayrımcılık içeren, ötekileştirdiği kesime şiddet uygulanmasını teşvik eden, küfür içeren, rencide edici saldırgan ifadeler.","Discourses that contain insults or threats.Race, gender, religion, language and appearance, discriminating, promoting violence to the subsiary of marginalizing, blasphemy -containing aggressive expressions.","Discourses that contain insults or threats.Race, gender, religion, language and appearance, discriminating, promoting violence to the subsiary of marginalizing, blasphemy -containing aggressive expressions."
R_8oHe8a6PbKFxUaJ,tur,"karşısındaki insana düşmanca davranış veya düşmanlık ifade eden sözlerin söylenmesi, aşağılama, kötüleme gibi","Saying, humiliation, disgraceful words that express hostile behavior or hostility to the other person","Saying, humiliation, disgraceful words that express hostile behavior or hostility to the other person"
R_2D2NFz6P9BdXxQA,tur,Belirli bir toplumsal grubu özellikle halihazırda marjinalize edilmiş azınlıkların can ve mal güvenliğini tehdit edebilecek söylem ve yorumlar.,A particular social group is particularly discourse and interpretation of the safety of life and property of the already marginalized minorities.,A particular social group is particularly discourse and interpretation of the safety of life and property of the already marginalized minorities.
R_Cfy6wbF9aHmAaLn,tur,İnsanların benliğini ve kendine olan güvenini kaybettiren şeydir nefret söylemi. Herkes farklı fikirde elbette olacaktır ama iş bunlara saygı duymaktadır,"Hate speech is what makes people lose their self and self -confidence.Everyone will have a different idea, of course, but work respects them","Hate speech is what makes people lose their self and self -confidence.Everyone will have a different idea, of course, but work respects them"
R_2Tt7KEPL4rHFfQS,tur,"Gürültü bir nefret söylemidir. 
Akışa ters olan, düzeni bozan şey(ler) nefret söylemidir. 
Fıtrata ters olan nefret söylemidir. 
(Misallerle daha iyi anlayacağınız kanaatindeyim. Bu yüzden böyle anlatmak istedim.)","Noise is a hate speech.
What is opposite to the flow is the thing that disrupts the order (s) is hate speech.
It is a hate speech that is opposite to nature.
(I think you will understand better with examples. That's why I wanted to tell.)",Noise is a hate speech. What is opposite to the flow is the thing that disrupts the order (s) is hate speech. It is a hate speech that is opposite to nature. (I think you will understand better with examples. That's why I wanted to tell.)
R_3qk83XUXbkxTU8S,tur,Kişileri ayrıştırıcı ve  küçük düşürücü sözler hakaret etme. Ve milli ve manevi değerlere saygısızlık,Insulting people who distinguish and humiliating people.And disrespect to national and spiritual values,Insulting people who distinguish and humiliating people.And disrespect to national and spiritual values
R_2scndRIFAGfs1Sq,tur,"Küfür, aşağılama yoksa eleştirmekte herkes özgür. Veya eleştirilen kesim veya şey cidden suçlu veya suçunu bile bile yapan biriyse o kişiye istenilen söylenebilir.","Everyone is free to criticize if there is no blasphemy.Or if the criticized cut or something seriously guilty or even who makes his guilt, it can be said to the person.","Everyone is free to criticize if there is no blasphemy.Or if the criticized cut or something seriously guilty or even who makes his guilt, it can be said to the person."
R_BKu8DhYxGrvTMZz,tur,"Nefret söylemi paylaşımda bulunsnların ya da egemenlerin kışkırtıcı, saldırgan veya küçümseyici tavırlarından ileri gelmektedir.","Hate speech comes from the provocative, aggressive or disdaining attitude of the sovereigns or sovereigns.","Hate speech comes from the provocative, aggressive or disdaining attitude of the sovereigns or sovereigns."
R_qOxc5cbSOhqDI4h,tur,"Bir gruba ya da kişiye, cinsel yönelimi ya da ırkı nedeniyle hedef göstererek ve doğrudan şiddet çağrısında bulunma.","A group or person, targeting due to sexual orientation or race and calls directly.","A group or person, targeting due to sexual orientation or race and calls directly."
R_2frjvLM0pFSb9MX,tur,"Sahip olduğu statü nedeniyle (etnik, dini, davranış özgürlüğü, ekonomik durum, eğitim) aşağılamak, hakaret etmek, küfür, tehdit, ötekileştirmek nefret söylemidir.","It is hate speech to humiliate, insult, blasphemy, threat, and margishing because of its status (ethnic, religious, freedom of behavior, economic situation, education).","It is hate speech to humiliate, insult, blasphemy, threat, and margishing because of its status (ethnic, religious, freedom of behavior, economic situation, education)."
R_3qIJw2ebabLz6Bc,tur,"Bir kişi, ırk, soy ,grup için yok etmek, şiddete yönlendirmek, kişi yada kişilerin fiziksel, maddi ve manen zarar vermek istemesi","A person, race, lineage, for the group to destroy, to direct violence, the person or persons to do physical, material and spiritual damage","A person, race, lineage, for the group to destroy, to direct violence, the person or persons to do physical, material and spiritual damage"
R_1hAuk7FBPGbfZ57,tur,"Bir grubu tehdit ve grubun yaşamına müdahale içeren, bu gruba yönelik toplu reaksiyonu tetikleyecek nitelikte olup söz konusu grubun insan haklarını ve özgürlüklerini tehlikeye atabilecek her türlü söz, eylem ve davranışlar nefret söylemidir. Herkes birbirinin fikir ve görüşlerine saygı göstermelidir. Ancak kendisini koruyamayacak durumda olan bireyleri, grupları tehlikeye atan ve onlara karşı müdahale çağrısı içeren her türlü söz, eylem ve davranış otoritelerce kontrol altında tutulmak zorundadır. Yani mesela yasal olarak çocuk yaşta evliliği yasaklayıp sonra da siyasal çıkarlar için çocuğa tecavüzü meşru gösterenlere destek veremezsiniz çünkü çocuk kendisini koruyamaz. Ya da İstanbul'un göbeğinde LGBTQ karşıtı nefret yürüyüşü örgütlenmesine izin veremezsiniz çünkü bu grubun kendi kendini koruma gücü sınırlıdır. Başkasının varlığına, yaşamına, özgürlüklerine müdahale/yasaklama/cezalandırma içeren tüm söz, eylem ve davranışlar nefret söylemidir. Ben türbanlı kadını başını açmaya zorlayacak söylem ve eylem göstermiyorsam o da benim yaşam biçimime müdahale edecek bir söylem veya eylem göstermeyecektir. Beğenmeyebilir, eleştirebilir ama bana zorla başımı örtmemi sağlamayı amaçlayan baskı oluşturacak bir söylem, eylem tamamen nefret içeriklidir. Herkes yek diğerinin hakkına saygı göstermelidir.","A group of threats and intervention in the life of the group, which will trigger the collective reaction to this group, and all kinds of words, actions and behaviors that can endanger the human rights and freedoms of the group are hate speech.Everyone should respect each other's ideas and views.However, all kinds of words, action and behavior that endangers and calls for intervention against individuals who cannot protect themselves must be kept under control by the authorities.In other words, for example, you cannot support those who legally prohibit marriage at a child and then who legitimize the rape to the child for political interests because the child cannot protect himself.Or you cannot allow the organization of an anti -LGBTQ hate march in the heart of Istanbul because this group's self -protection power is limited.All words, actions and behaviors that involve/prohibit/punish the existence, life and freedom of someone else are hate speech.If I do not show discourse and action that will force the head of the headscarf to open her head, it will not show a discourse or action that will intervene in my way of life.He may not like, criticize, but a discourse that will put me pressure on me to make me cover my head, action is completely hate.Everyone should respect the other right.","A group of threats and intervention in the life of the group, which will trigger the collective reaction to this group, and all kinds of words, actions and behaviors that can endanger the human rights and freedoms of the group are hate speech.Everyone should respect each other's ideas and views.However, all kinds of words, action and behavior that endangers and calls for intervention against individuals who cannot protect themselves must be kept under control by the authorities.In other words, for example, you cannot support those who legally prohibit marriage at a child and then who legitimize the rape to the child for political interests because the child cannot protect himself.Or you cannot allow the organization of an anti -LGBTQ hate march in the heart of Istanbul because this group's self -protection power is limited.All words, actions and behaviors that involve/prohibit/punish the existence, life and freedom of someone else are hate speech.If I do not show discourse and action that will force the head of the headscarf to open her head, it will not show a discourse or action that will intervene in my way of life.He may not like, criticize, but a discourse that will put me pressure on me to make me cover my head, action is completely hate.Everyone should respect the other right."
R_1pmqh3DviXha5E3,tur,Karşıdaki her hangi bir şeye karşı belirli kelimeleriyle ve ya ifadeleriyle rahatsız hissettiriyorsa bu bir nefret söylemidir çünkü karşıda ki kim ve ne olursa olsun fikir özgürlüğüne sahiptir ona fikirlerinden ve ya görünüş tarzı şeyler saldırmak bunların hepsi nefret söylemidir,"If it makes you feel uncomfortable with certain words or expressions against anything across, it is a hate speech because it has freedom of opinion and no matter who and whatever it is, it is all hate speech","If it makes you feel uncomfortable with certain words or expressions against anything across, it is a hate speech because it has freedom of opinion and no matter who and whatever it is, it is all hate speech"
R_3gSjlHExUsaJ0UJ,tur,Kadını objeleştirmek tacize uğramasını hakettiğini savunmak. Farklılıkları kabul etmeyip insanları kendi kalıplarına sokarak hakaret etmek,To argue that the woman deserves to be objectively harassed.Insulting people by inserting people into their own patterns,To argue that the woman deserves to be objectively harassed.Insulting people by inserting people into their own patterns
R_Xk0HGUnXruw0Q93,tur,"Yönlendirilen eleştiri hedef kişi veya kitlenin değişmesi imkansız özellik ve aslına dairse nefret söylemi kapsamında telakki edilebilir
Nefret söylemi olmayan saldırgan üslup görüş açıklama kapsamında olsa bile tartismayi noktalayan bir uctaysa yani yanıt verilmesi mümkün değilse engellenebilir","The directed criticism can be considered within the scope of hate speech if it is impossible to change the target person or mass.
Even if the aggressive style without hate speech is within the scope of explanation, it can be blocked if it is not possible to respond.","The directed criticism can be considered within the scope of hate speech if it is impossible to change the target person or mass. Even if the aggressive style without hate speech is within the scope of explanation, it can be blocked if it is not possible to respond."
R_1C7MT9aMedKejzx,tur,"İnsanlar birbirlerine saygılı olmalı, fikirlerini özgürce ifade edebilmeli. Etnik kimlikleri yüzünden ayıplanmamalı. Dini inançlarına hakaret edilmemeli.",People should be respectful to each other and express their ideas freely.It should not be condemned because of their ethnic identities.It should not be insulted by religious beliefs.,People should be respectful to each other and express their ideas freely.It should not be condemned because of their ethnic identities.It should not be insulted by religious beliefs.
R_1q32puFXPFbcixL,tur,"Nefret söylemi ve nefret suçu kavramlarının sürekli birbirleriyle karıştırıldığını düşünüyorum. Nefret söylemi, doğrudan ve gerçekleşmesi olasılığı bulunan şiddete yönlendirmediği sürece, serbest olmalıdır. Ne zaman ki şiddete doğrudan yönlendirme gerçekleşir ve gerçekten bir nefret suçu işlenmesi riski doğar, işte ancak o zaman bunun bir cezası olabilir.","I think the concepts of hate speech and hate crime are constantly confused with each other.Hate speech should be free unless it directly directly and to violence that is likely to realize.When it is directly directed to violence, there is a risk of committing a hate crime, but then it can be a punishment.","I think the concepts of hate speech and hate crime are constantly confused with each other.Hate speech should be free unless it directly directly and to violence that is likely to realize.When it is directly directed to violence, there is a risk of committing a hate crime, but then it can be a punishment."
R_3fuzAOIcWsTRk2n,tur,"Birey, topluluk, inanç ve başka bir kişi ya da toplulukların özgürlüğüne zarar verici, hakaret edici, küçük düşürücü, eleştirel maske altında tehdit edici söylem ya da tutum.","The individual, community, belief and the freedom of another person or communities, insulting, humiliating, threatening discourse or attitude under the critical mask.","The individual, community, belief and the freedom of another person or communities, insulting, humiliating, threatening discourse or attitude under the critical mask."
R_3sAD7H6SQNJ1M9B,tur,"İnancından, siyasi düşüncesinden, renginden, ırkından dolayı elimine edilme çabası nefret söylemidir.","The effort to be eliminated by his belief, political thought, color and race is hate speech.","The effort to be eliminated by his belief, political thought, color and race is hate speech."
R_6PSaPB9G9LEqIbn,tur,"Aslında genel geçer etik ve insan hakları kapsamında ne nefret söylemi olarak kabul ediliyorsa onlar nefret soylemidir, bu konuda insan hakları yasalarının ve etik degerlerin yeterince geliştiğini düşünüyorum. Bunlar dikkate alınsa yeterli, insanların nefret söylemi konusundaki fikirleri bence çok önemli değil.","In fact, whatever is considered as hate speech within the scope of general passing ethics and human rights, they are hate, I think that human rights laws and ethical values have developed sufficiently.Considering these, people's ideas about hate speech are not very important.","In fact, whatever is considered as hate speech within the scope of general passing ethics and human rights, they are hate, I think that human rights laws and ethical values have developed sufficiently.Considering these, people's ideas about hate speech are not very important."
R_1dzYVb7OIUJUXLb,tur,"Muhatabını, korkutan, şüphe uyandıran, tehdit eden her türlü hakaret, aşağılama, küfür ve tehdit nefret söylemidir.","All kinds of insults, insults, humiliation, blasphemy and threat that scare, scare, arous doubt, threaten, threaten.","All kinds of insults, insults, humiliation, blasphemy and threat that scare, scare, arous doubt, threaten, threaten."
R_3lFTpWB1rla9AUf,tur,Başkasının tercihlerini saygıyla karşılayamayıp kendisine direkt olarak bir etkisi olmadığı halde o tercihleri zorla değiştirme konusunda o kişiye zarar verici aksiyon almak üzerine söylemler. Sonunda yapabileceği hiç birşey olmasa da bunun sözle dahi olsa söylenmesi.,"He can not meet someone else's preferences with respect and he does not have any direct impact on him.Even though there is nothing he can finally do, it is to say even with a word.","He can not meet someone else's preferences with respect and he does not have any direct impact on him.Even though there is nothing he can finally do, it is to say even with a word."
R_2c59RKvw056NpBF,tur,"Sadece kendi çıkarlarını göz önünde bulundurarak kendinden başka hiçkimseyi önemsemeyerek davranmak , konuşmak , yazmak.","Just acting, talking, writing, just taking into account his own interests, not care about anyone other than himself.","Just acting, talking, writing, just taking into account his own interests, not care about anyone other than himself."
R_2tEgriIpgQ9TRAu,tur,"Nefret söylemi uydurma bir kavramdır. Yetişkin hayata adapte olamayan, kaçınılmaz şekilde karşılaşılacak zorbalarla mücadele etmekten korkan, eleştiri ile yüzleşemeyen, zayıf karakterli, yetişkin bedenindeki çocukların uydurmasıdır. Hayat adil değildir, ve toplum içinde yaşama belli oranda adapte olmak insan ırkı olarak hepimizin zorunluluğudur. Zorluklarla yüzleşmek ve mücadele etmek kişinin kendi sorumluluğudur ve gelişiminin bir parçasıdır.","Hate speech is a fictitious concept.It is the fabrication of children in the adult body that cannot adapt to adult life, who are afraid of struggling with the tyrants that will inevitably encounter, cannot face criticism, weak character.Life is not fair, and to adapt to life in society to a certain extent is the necessity of all of us as a human race.Confrontation and struggle with difficulties is a person's own responsibility and is a part of his development.","Hate speech is a fictitious concept.It is the fabrication of children in the adult body that cannot adapt to adult life, who are afraid of struggling with the tyrants that will inevitably encounter, cannot face criticism, weak character.Life is not fair, and to adapt to life in society to a certain extent is the necessity of all of us as a human race.Confrontation and struggle with difficulties is a person's own responsibility and is a part of his development."
R_12MsYCS5MA6sqCb,tur,"Kişilerin fikir veya sahip oldukları özellikleri veya dahil olduğu toplulukları hor görmek, küçümsemek, aşağılamak","To despise, underestimate, humiliate the people's ideas or characteristics or the characteristics they have.","To despise, underestimate, humiliate the people's ideas or characteristics or the characteristics they have."
R_AGm1LIGHGikAMwx,tur,Küfür dinlere saldırmak dillere saldırmak hakaret ler kadınlara karşı küfür ayrımcılık cinsiyet ayrımcılığı butur şeyler.,"Attacking the religions of blasphemy to attack the languages insults to discrimination against women, gender discrimination.","Attacking the religions of blasphemy to attack the languages insults to discrimination against women, gender discrimination."
R_BXMemh8TvChqGJP,tur,Gerçekleşen her kötü olayın müsebbibi kimse o kişiyi birey olarak ele almayan bir gruba ait sayan ve genelleme yapan her cümle nefret soylemidir.,Every person who does not treat that person as an individual is a hate.,Every person who does not treat that person as an individual is a hate.
R_2q8nrgBsfQcrj4C,tur,"Gerçek anlamda, kişilik haklarını, ifade özgürlüğünü, kendini ifade etme hakkını elinden alan her türlü çirkin, aşağılayıcı, saldırgan, psikolojik, fiziksel, rahatsızlık veren söylemler bence nefret söylemi.","In fact, all kinds of ugly, humiliating, aggressive, psychological, physical, uncomfortable discourses that take away their personal rights, freedom of expression, and self -expression of self -expression are hate speech.","In fact, all kinds of ugly, humiliating, aggressive, psychological, physical, uncomfortable discourses that take away their personal rights, freedom of expression, and self -expression of self -expression are hate speech."
R_27ImuVFuA4HiDQW,tur,Din Irk Mezhep gibi seçimlere karşı aşağılayıcı sözler söylenmesidir. Ayrıca insanların değiştiremeyeceği fiziksel özellikleri ile alakalı da kötü sözler söylenmesidir.,Religion is a humiliating words against elections such as race sect.It is also to say bad words about the physical characteristics that people cannot change.,Religion is a humiliating words against elections such as race sect.It is also to say bad words about the physical characteristics that people cannot change.
R_vp1krhYOgqsxXpf,tur,"Yaşam ve huzur hakkının, varolmayı sürdürme hakkının yok edilmesine yönelik her türlü söylem nefret söylemi sayılabilir","Any discourse of the right to life and peace, the right to exist, can be considered as hate speech.","Any discourse of the right to life and peace, the right to exist, can be considered as hate speech."
R_OfhKehqMxfAtjmF,tur,"Belli bir kesimi tehdit eden, küçük gören, aşağılayan, saldırgan, başkalarını kışkırtabilecek ve hakaret içeren söylemler.","Discourses that threaten, humiliate, humiliate, aggressive, provocate others and contain insults.","Discourses that threaten, humiliate, humiliate, aggressive, provocate others and contain insults."
R_2pLy6FVyAzGPM6h,tur,"İnsanların inançlarına, ırkına, cinsiyetine veya herhangi bir değerine somut veya soyut yapılan her şey kötüdür.","Everything that is concrete or abstract to people's beliefs, race, gender or any value is bad.","Everything that is concrete or abstract to people's beliefs, race, gender or any value is bad."
R_2ttF2OvLXAsbGor,tur,Bir kaç yıl sonra dinler tamamen bitecek ve bu asalak dincilerden tamamen kurtulacağız çünkü hepsi bok çukurlarına dönmüş olacaklar,"After a few years, the religions will end completely and we will get rid of these parasitic religiouss because they will all return to shit pits","After a few years, the religions will end completely and we will get rid of these parasitic religiouss because they will all return to shit pits"
R_1MiTSHngCtdWfPb,tur,"Bazı insanları ötekileştirme, onların düşünce, inanç ve yaşama biçimlerini kabul edilemez bularak sindirmeye çalışmak, hakaret etmek, tehdit etmek.","Some people to marginalize, to try to intimidate, insult, threaten their ways of thinking, belief and life unacceptable.","Some people to marginalize, to try to intimidate, insult, threaten their ways of thinking, belief and life unacceptable."
R_32YoxQhzdiOySHj,tur,Kişisel ve/ veya toplumsal olarak bireylerin ahlaki ve özellikleri konusunda küçük düşürücü alaycı söylemler,Steering rhetoric about the moral and characteristics of individuals in personal and/ or socially,Steering rhetoric about the moral and characteristics of individuals in personal and/ or socially
