ResponseId,country,hate_definition,hate_definition_cleaned
R_2Pe69htIK8FA7AB,usa,"Only the literal quote ""I hate you.""","Only the literal quote ""I hate you."""
R_31bYz6FJKSJ9Ofq,usa,Nothing,Nothing
R_x5fK2FNiTrAw13z,usa,"The KKK is hate speech but we need to denounce them, not make it illegal","The KKK is hate speech but we need to denounce them, not make it illegal"
R_DHM53BmvCLVBjUt,usa,Speech that people hate,Speech that people hate
R_3EMxAU2AVtNZQvh,usa,An actual threat of violence that could be carried out,An actual threat of violence that could be carried out
R_2q9JYunMKPbXGUA,usa,"There is no such thing as ""hate speech"".","There is no such thing as ""hate speech""."
R_297aY6rTN5TRwv7,usa,Threatening speech directed at any group of.people,Threatening speech directed at any group of.people
R_30k2aJsX8lpR6aB,usa,Speech that singles out and threatens certain groups of people because of who they are,Speech that singles out and threatens certain groups of people because of who they are
R_3iwIUmaiJErH2L4,usa,I don't think there is such a thing as hate speech.  There is only speech.,I don't think there is such a thing as hate speech.  There is only speech.
R_2dg7w07Ek9oxDYe,usa,"Anything that openly states, or implies, violence and/or hatred towards another person or group.","Anything that openly states, or implies, violence and/or hatred towards another person or group."
R_1DGuhxpasmiTjno,usa,It is language or behaviors that are threatening or hateful towards a group of people.,It is language or behaviors that are threatening or hateful towards a group of people.
R_2tgO5SpQKGKnN2j,usa,Speech that is hateful and directed towards a person,Speech that is hateful and directed towards a person
R_po1y14tOywnodS9,usa,"Not sure, but that I know it when I see it.","Not sure, but that I know it when I see it."
R_3J92R37ruXRBZW0,usa,Speech someone might find offensive.,Speech someone might find offensive.
R_3dYYPPXCWPo0kJj,usa,Speech threatening violence and lies,Speech threatening violence and lies
R_3oKDkvYqivEiOQK,usa,Hate speech is a phrase used by tyrants who want to criminalize thought.,Hate speech is a phrase used by tyrants who want to criminalize thought.
R_AM8K4zfieps6fKN,usa,Hate speech does not exist,Hate speech does not exist
R_3OiFuRslorKqzUg,usa,It’s hate speech if it might cause hateful or violence response by others,It’s hate speech if it might cause hateful or violence response by others
R_2Pc9WLtw0QIjuPJ,usa,"There are certain words, everyone knows what they are, that cross the line.","There are certain words, everyone knows what they are, that cross the line."
R_10BexEyr8s0P7f9,usa,Threats of doing harm,Threats of doing harm
R_2D2Ah8INtdghGWg,usa,Threatening words intending to intimidate or scare someone,Threatening words intending to intimidate or scare someone
R_CdKH20EuBTS7ffr,usa,"There is no ""hate speech"". First amendment rules.","There is no ""hate speech"". First amendment rules."
R_1CqdoaFtlaP7dxm,usa,That which denies a person's basic humanity.,That which denies a person's basic humanity.
R_79fE3E7SCs1PH9L,usa,So it’s when someone talking about a group of people and saying we need to end the group.,So it’s when someone talking about a group of people and saying we need to end the group.
R_1dhnJX7DTALPEWN,usa,Speech that results in acts of violence.,Speech that results in acts of violence.
R_2DZkkwVfSZrjzQQ,usa,"Attempts to incite physical or legal action against another
",Attempts to incite physical or legal action against another 
R_2EcPypHXnqrS8vO,usa,Hate speech is a bullshit leftist retard word.,Hate speech is a bullshit leftist retard word.
R_1KWsF8AKrBNGs93,usa,Threats of actual real-time physical harm,Threats of actual real-time physical harm
R_31oTmskF5lo3OMu,usa,Threats of death and physical violence along with seemingly active threats toward our government,Threats of death and physical violence along with seemingly active threats toward our government
R_1dccAI1XHYAkTnD,usa,Nothing.,Nothing.
R_QmpzC30Tzfqbg2t,usa,unsure.,unsure.
R_1ONbwSs5RsyGOHa,usa,Speech that directly or implies threats to another person or group of people.,Speech that directly or implies threats to another person or group of people.
R_O8RGM0VeaRU5nsB,usa,Free speech is absolute,Free speech is absolute
R_2fkveOX3ghRmOdR,usa,Anything can be considered hate speech if that’s what you’re looking for,Anything can be considered hate speech if that’s what you’re looking for
R_2BzWH3ihtO2QSfA,usa,Any direct call for violence that constitutes a viable threat.,Any direct call for violence that constitutes a viable threat.
R_xhzU3uRkBoDCNC9,usa,I am unable to define it,I am unable to define it
R_qPjONIIOQXbGmlj,usa,Anything that threatens someone's safety or their lives.,Anything that threatens someone's safety or their lives.
R_3EVWI9I27eKoGVW,usa,Speech that degrades other people.,Speech that degrades other people.
R_Rs4FqiwLQW7fpst,usa,I believe hate speech is a slippery alopecia term and do not use it.,I believe hate speech is a slippery alopecia term and do not use it.
R_1QiRq95KZxRpCxL,usa,Threats and lies that are personal or targeting a specific group.,Threats and lies that are personal or targeting a specific group.
R_2CjGuJ5boxe7VfF,usa,"As something mean, hurtful, and offensive","As something mean, hurtful, and offensive"
R_27yzkFfdCdpSziw,usa,Personal threats of violence and doxxing,Personal threats of violence and doxxing
R_1LdqAFTkJgizKnO,usa,"I don't know, who gets to decide?","I don't know, who gets to decide?"
R_3PXGDwVHVbxHP0K,usa,"Anything racist, sexist, derogatory such as name calling, insulting.","Anything racist, sexist, derogatory such as name calling, insulting."
R_3r2qhBb2Uo3384N,usa,No speech is hate speech.  Hate speech does not exist.,No speech is hate speech.  Hate speech does not exist.
R_VQOBptdIpeFvYit,usa,Threats of action against anyone based on specific criteria.,Threats of action against anyone based on specific criteria.
R_3kHawT7gpPUpSHU,usa,A direct and credible threat of death or extreme harm to a specific person,A direct and credible threat of death or extreme harm to a specific person
R_BtSEiC1zmOq1YxX,usa,Hate speech is a fraudulent excuse for tyrannical oppression of freedom of thought,Hate speech is a fraudulent excuse for tyrannical oppression of freedom of thought
R_0wuaZhnuIZw0FDb,usa,Threats or calls for violence against any specific group of people.,Threats or calls for violence against any specific group of people.
R_2s1gen48UGjft5p,usa,speech that orders or demands violence against anyone who does not look or think exactly like them.,speech that orders or demands violence against anyone who does not look or think exactly like them.
R_2qaxCtcbUWLdWN0,usa,Hate speech is a term made up by communists,Hate speech is a term made up by communists
R_1MKcAmNKMpqU694,usa,"Hate speech is threats of harming another person whether physically, financially etc.
","Hate speech is threats of harming another person whether physically, financially etc. "
R_1ifKKzaRduAnSQi,usa,Doesn’t exist in a free society,Doesn’t exist in a free society
R_zYUgcehDFTMR1hD,usa,If you dislike something then that could be construed as hate. I think the term is overused!!!,If you dislike something then that could be construed as hate. I think the term is overused!!!
R_3rIlJOEuj9wEEQM,usa, Regal assaults against others., Regal assaults against others.
R_1Qg3GOsZzskhjPl,usa,Speach that attacks people for being in an oppressed group,Speach that attacks people for being in an oppressed group
R_3eajXY4Yucrrkr9,usa,Speech that makes someone feel threatened due to its vitriol.,Speech that makes someone feel threatened due to its vitriol.
R_TvheMIJlSC8ueTD,usa,People should be free to say whatever they want even if if hurts another’s feelings.,People should be free to say whatever they want even if if hurts another’s feelings.
R_2D2BFiQDbVdmnPs,usa,Threats of physical harm,Threats of physical harm
R_1HV79O6LpfRcKNr,usa,No such thing.,No such thing.
R_1NlB4uUw8T0aXv6,usa,I don't.,I don't.
R_2R2DCUAn1bBdcTY,usa,"Any threats to do harm. Any racial slurs including, ""white privilege, ""","Any threats to do harm. Any racial slurs including, ""white privilege, """
R_2f1Id2Wv5yBzhtg,usa,Anything any person finds to be hateful. That is the problem.,Anything any person finds to be hateful. That is the problem.
R_UEYgiJsgcdN0OhH,usa,Actively putting down one person or group.,Actively putting down one person or group.
R_2nw65gsZt7ChEhb,usa,Hate speech doesn't exist,Hate speech doesn't exist
R_11cmTdG07pVjrXU,usa,Where they threatened somebody,Where they threatened somebody
R_1jwVNEeFf87EKi6,usa,Vowing to physically or financially harm a person.,Vowing to physically or financially harm a person.
R_3MLRUbU6TTk0Clr,usa,Hate speech is a myth.,Hate speech is a myth.
R_2Ui8A1SpIkZQQJs,usa,Any attempt to alienate people,Any attempt to alienate people
R_1hWutxm9zDASE5e,usa,Personal threats to your person or group.,Personal threats to your person or group.
R_3EYZvTxzwGhJOyq,usa,"Words that are threatening, dangerous or bigoted.","Words that are threatening, dangerous or bigoted."
R_2YSqQNDTOS4SbAg,usa,Speech that advocates violence against people or property.,Speech that advocates violence against people or property.
R_OoHzf7qXiGwc5Fv,usa,Made up term as an excuse to oppress freedom of speech.,Made up term as an excuse to oppress freedom of speech.
R_RWzISM5RR9dKAgh,usa,"Vile, vulgar, profane descriptions of race, religion, ethnicity, gender, or sexual preference.","Vile, vulgar, profane descriptions of race, religion, ethnicity, gender, or sexual preference."
R_2VlLPnPTwb2fGRe,usa,Hate speech is generally a made up term by leftists to mean any speech with which they disagree.,Hate speech is generally a made up term by leftists to mean any speech with which they disagree.
R_116D7qc4uOGSdXy,usa,Hate speech does not have a legal definition.,Hate speech does not have a legal definition.
R_sLlqgxj0JiVIqZz,usa,"Openly discriminatory speech based on race, religion, gender, sexual orientation or ethnicity.","Openly discriminatory speech based on race, religion, gender, sexual orientation or ethnicity."
R_1oAqYOe5iVLAEbF,usa,No such thing. You can ignore what you don't like.,No such thing. You can ignore what you don't like.
R_1rHbJkYaKwXXxTT,usa,Anything that threatens or wishes death on someone. Anything blatantly racist or homophophobic.,Anything that threatens or wishes death on someone. Anything blatantly racist or homophophobic.
R_1DD6SzbNUb29upo,usa,"Any negative post on sexual orientation, racism, sexism, threats of violence.","Any negative post on sexual orientation, racism, sexism, threats of violence."
R_5ALw1xNLbnueYQF,usa,I think it is used very broadly to silence opposition.,I think it is used very broadly to silence opposition.
R_2arhnf5bGgbDtVX,usa,Any threat of DIRECT Violence,Any threat of DIRECT Violence
R_1Ivl2fcNt9vXO2q,usa,Your problem is that you assume it actually exists. It doesn't.,Your problem is that you assume it actually exists. It doesn't.
R_3CVZXiT2lblfsdv,usa,"Speech that clearly disparages another tied with threats to the person's life, livelihood or existence.","Speech that clearly disparages another tied with threats to the person's life, livelihood or existence."
R_3Jln0bgYsqH2Llq,usa,"In America there is no such thing as ""hate speech."" We enjoy Free Speech (with the exception of crying ""Fire!"" in a crowded theater). If people on social platforms are offended by another's remark they can delete it. It's like being innocent until PROVEN guilty. Ere on the side of more speech.
","In America there is no such thing as ""hate speech."" We enjoy Free Speech (with the exception of crying ""Fire!"" in a crowded theater). If people on social platforms are offended by another's remark they can delete it. It's like being innocent until PROVEN guilty. Ere on the side of more speech. "
R_2qBEIqj9jQqnIBD,usa,Speech that expresses violence toward someone based on specific characteristics of a particular person.,Speech that expresses violence toward someone based on specific characteristics of a particular person.
R_1Kr1eg3qZ3pYwME,usa,"Threatening a specific person,. I think our constitution says a little something about freedom of speech. My opinion, your opinion. If you can't take the heat get out of the fucking kutchen","Threatening a specific person,. I think our constitution says a little something about freedom of speech. My opinion, your opinion. If you can't take the heat get out of the fucking kutchen"
R_30nGX8M9nSnqC7Q,usa,Speech that actively promotes actual physical violence or death of a group of people based on physical attributes or ideology.,Speech that actively promotes actual physical violence or death of a group of people based on physical attributes or ideology.
R_bIBy2ZT44v3QURr,usa,"Speech which perpetuates harmful social ideas and constructs that is meant to continue and reinforce the disenfranchisement of historically oppressed people based on race, ethnicity, classgender religious belief or orientation","Speech which perpetuates harmful social ideas and constructs that is meant to continue and reinforce the disenfranchisement of historically oppressed people based on race, ethnicity, classgender religious belief or orientation"
R_2VEexUTKt4FAc3C,usa,When a group is denigrated.  Anything which incites violence against anyone. Anything which implies the superiority of one group over another.,When a group is denigrated.  Anything which incites violence against anyone. Anything which implies the superiority of one group over another.
R_097pzgjjuPAMrfj,usa,"Hate speech is speech that encourages violence against various groups of people.or speech that denigrates various people such as gays, jews blacks, etc in order to make them seem inferior.","Hate speech is speech that encourages violence against various groups of people.or speech that denigrates various people such as gays, jews blacks, etc in order to make them seem inferior."
R_2YQAD8mcNAxyzu2,usa,"I would define hate speech when someone says something about the Persons color of skin or gender.  I find that unacceptable 100%.  Now referencing their religion, no.","I would define hate speech when someone says something about the Persons color of skin or gender.  I find that unacceptable 100%.  Now referencing their religion, no."
R_AHcUt1tz0Rbvhnj,usa,"""Hate speech"" is propaganda designed to keep people divided. You can tell because its a trigger word. Which means it is a brainwashing/social conditioning tool.","""Hate speech"" is propaganda designed to keep people divided. You can tell because its a trigger word. Which means it is a brainwashing/social conditioning tool."
R_10HhcPOnZu5N644,usa,"Any type of speech which directly calls for acts of emotional, mental, physical, or fiscal violence against any individual or organization for which a sufficient logical reason is not given.","Any type of speech which directly calls for acts of emotional, mental, physical, or fiscal violence against any individual or organization for which a sufficient logical reason is not given."
R_1QithelJzeUIf7W,usa,"Comments that vilify persons because of their race, religion, sexual identity, ethnicity or body shape.","Comments that vilify persons because of their race, religion, sexual identity, ethnicity or body shape."
R_uftahRq1OqIKedj,usa,"its just speech.  fight it with more speech.  state your case on your own thoughts and merits.  dont have the government shut down anything 
",its just speech.  fight it with more speech.  state your case on your own thoughts and merits.  dont have the government shut down anything  
R_3dGLdkLURK1UwHm,usa,"Hate speech is direct and targeted. Includes use of slurs and is mean spirited. I could include threats of violence, too.","Hate speech is direct and targeted. Includes use of slurs and is mean spirited. I could include threats of violence, too."
R_1n3jgy8jL0DvhCg,usa,Physical threats only. A difference of opinion or a disagreement with a lifestyle does equal hate speech.,Physical threats only. A difference of opinion or a disagreement with a lifestyle does equal hate speech.
R_6EiXw5g0j8hOmJ3,usa,The genociding of the white races by replacement with immigration. Advocating immigration to displace and dilute a white majority or replace a people or race or change the demographics of a white majority nation. Speech that denigrates or attacks Christian religions.,The genociding of the white races by replacement with immigration. Advocating immigration to displace and dilute a white majority or replace a people or race or change the demographics of a white majority nation. Speech that denigrates or attacks Christian religions.
R_2wiDvovpFwZHxaZ,usa,"Threatening post of any kind 
Context is important. Example there was a post about two actresses wearing the same dress to an awards banquet.I with laugh emojis joked “stone them!!!” And I was put in Facebook jail .",Threatening post of any kind  Context is important. Example there was a post about two actresses wearing the same dress to an awards banquet.I with laugh emojis joked “stone them!!!” And I was put in Facebook jail .
R_3R8dtLKwaV7EIQp,usa,"Keeping in mind this is only my personal opinion and to take this with a grain of salt... I do not believe in ""hate speech."" This term has been overused for anything that any one person or group finds to be offensive to them. As an individual you always have the option to either stop listening, stop watching or to walk away. No one person has claim to any place or time. We share this space together and with it comes the dark side of humanity, the ugliest side at times. And we have the freedom to walk away from it.","Keeping in mind this is only my personal opinion and to take this with a grain of salt... I do not believe in ""hate speech."" This term has been overused for anything that any one person or group finds to be offensive to them. As an individual you always have the option to either stop listening, stop watching or to walk away. No one person has claim to any place or time. We share this space together and with it comes the dark side of humanity, the ugliest side at times. And we have the freedom to walk away from it."
R_3g703cwmXNB3O9j,usa,"Communicating or advocating physical or psychological harm towards someone you disagree with. I don't, however, believe in censoring someone's honest feelings on any particular subject-even if the person sounds ridiculously out of touch with the facts. Any reasonable adult should be able to communicate opinions in a civil manner, without other's launching into a hissy-fit. You can agree to disagree, and keep in mind that most people are smart enough to discern facts and sensible viewpoints from conspiracies wildly out of touch with reality, and moral codes bereft of compassion. It's my belief that we can collectively educate each other and grow as a society, if we are all allowed to speak openly and honestly with each other.","Communicating or advocating physical or psychological harm towards someone you disagree with. I don't, however, believe in censoring someone's honest feelings on any particular subject-even if the person sounds ridiculously out of touch with the facts. Any reasonable adult should be able to communicate opinions in a civil manner, without other's launching into a hissy-fit. You can agree to disagree, and keep in mind that most people are smart enough to discern facts and sensible viewpoints from conspiracies wildly out of touch with reality, and moral codes bereft of compassion. It's my belief that we can collectively educate each other and grow as a society, if we are all allowed to speak openly and honestly with each other."
R_ZF8r5vKKTt4DfS9,usa,"Hate speech should be a legal term that is used to identify content that calls for direct, actionable, clear, physical harm to individuals or people groups, and then gives consequences for that speech.","Hate speech should be a legal term that is used to identify content that calls for direct, actionable, clear, physical harm to individuals or people groups, and then gives consequences for that speech."
R_XM5r9zRurEFXdEB,usa,"Speech that attacks or threatens someone based on their race, religion, sexual orientation, or other protected status. But not all disagreements or statements, even if they are ignorant, are hate speech.","Speech that attacks or threatens someone based on their race, religion, sexual orientation, or other protected status. But not all disagreements or statements, even if they are ignorant, are hate speech."
R_2bWvGoR4L9CzYh3,usa,"All speech is free. Threatening to kill, or yelling fire in a movie theater is outside the line of free speech","All speech is free. Threatening to kill, or yelling fire in a movie theater is outside the line of free speech"
R_2QAGRYOO4EzR0K7,usa,"I define hate speech as something targetting a group of minorities, with the implication of hating on them, rather than an opinion or argument.","I define hate speech as something targetting a group of minorities, with the implication of hating on them, rather than an opinion or argument."
R_237FOCIQ1zvzoLV,usa,Hate speech consists of words (spoken or written) which express hatred.  Words which simply express unpopular perspectives or opinions do NOT constitute hate speech.,Hate speech consists of words (spoken or written) which express hatred.  Words which simply express unpopular perspectives or opinions do NOT constitute hate speech.
R_1Cptdc7dTwIwoLL,usa,"There are no “hate speech” exemptions to the First Amendment in case law so far as I know.

Even groups I personally find offensive such as the KKK and Antifa are all free to march and wave signs and express their views.

Social media is the defacto public square of this age so these platforms should have no right to censor anybody, just as established case law states that private companies cannot censor anyone on behalf of government as an end run around the First Amendment .","There are no “hate speech” exemptions to the First Amendment in case law so far as I know.  Even groups I personally find offensive such as the KKK and Antifa are all free to march and wave signs and express their views.  Social media is the defacto public square of this age so these platforms should have no right to censor anybody, just as established case law states that private companies cannot censor anyone on behalf of government as an end run around the First Amendment ."
R_3nGwBdavvnwns5j,usa,I personally define hate speech as anything that threatens or is excessive in demeaning another individual or group. This does NOT include differing opinions.  I would also include any speech that encourages actual violence as hate speech.,I personally define hate speech as anything that threatens or is excessive in demeaning another individual or group. This does NOT include differing opinions.  I would also include any speech that encourages actual violence as hate speech.
R_2CplHanzzsUP2x1,usa,I don't define hate speech. People have differing views. One person's hate speech is just another person's opinion.,I don't define hate speech. People have differing views. One person's hate speech is just another person's opinion.
R_2ToNEBRe3DPasIt,usa,Hate speech is a made up term . People all have their own opinions and have the rights to express them. This is a term made up to create people with weak character and low self esteem so they can be manipulated easier.,Hate speech is a made up term . People all have their own opinions and have the rights to express them. This is a term made up to create people with weak character and low self esteem so they can be manipulated easier.
R_866C70rDmPTnc89,usa,"Hate speach is being threatening and hateful because of race or gender, being vulgar because someone disagrees with your opinion.","Hate speach is being threatening and hateful because of race or gender, being vulgar because someone disagrees with your opinion."
R_27xUlgEil2N3Gii,usa,"Hate speech is speech which is intended to harm the target of the speech based on one or more hated characteristics (race, religion, gender, color, behavioral trait, nationality, language).  Combinations of those characteristics are often given bigoted names such as the N-word and groups of people align in hating other groups of people.","Hate speech is speech which is intended to harm the target of the speech based on one or more hated characteristics (race, religion, gender, color, behavioral trait, nationality, language).  Combinations of those characteristics are often given bigoted names such as the N-word and groups of people align in hating other groups of people."
R_32ROYl0NPVL5e0b,usa,"Something attacking the existence of marginalized groups. Attacking people's reputation, doxxing, racial slurs and sexual harassment.","Something attacking the existence of marginalized groups. Attacking people's reputation, doxxing, racial slurs and sexual harassment."
R_2rxbNiukb3l11Np,usa,"No such thing, if someone says something offensive to you, then it is up to you not to let that person dictate how you respond. It’s your life and don’t let idiots upset you. You are in charge of how you feel.","No such thing, if someone says something offensive to you, then it is up to you not to let that person dictate how you respond. It’s your life and don’t let idiots upset you. You are in charge of how you feel."
R_b2BSlYoo48bkF3j,usa,"Hate speech is just speech, not action. Sticks and stones can break my bones, but words will never hurt me","Hate speech is just speech, not action. Sticks and stones can break my bones, but words will never hurt me"
R_3hatqiD0efZv3z4,usa,I do not believe in the concept of hate speech. It is a construct created during the Clinton years of the 1990s.,I do not believe in the concept of hate speech. It is a construct created during the Clinton years of the 1990s.
R_3nq68MWh2JiLWx3,usa,Nothing because any speech can be hate speech dependant on perspective and putting so much imphasis on hate speech and trying to end it there not paying attention to our freedom of speech and I'm not saying the government I'm saying nothing can stop me or you from saying what we want it is our right as creatures of this planet to do what we want to do our government is responsible to protect thoes rights not regulate them protect them they didn't give us anything were born with it.,Nothing because any speech can be hate speech dependant on perspective and putting so much imphasis on hate speech and trying to end it there not paying attention to our freedom of speech and I'm not saying the government I'm saying nothing can stop me or you from saying what we want it is our right as creatures of this planet to do what we want to do our government is responsible to protect thoes rights not regulate them protect them they didn't give us anything were born with it.
R_1BRFTdJipx4wPZA,usa,It has to be aimed at a particular person or persons - not a general statement.  I needs to very hateful - based on nothing objective just subjective thoughts.,It has to be aimed at a particular person or persons - not a general statement.  I needs to very hateful - based on nothing objective just subjective thoughts.
R_3r197JtntGEqnJI,usa,"""Hate speech"" is a foolish & useless term or phrase. Almost all ""hate speech"" that I see is nothing more than a stupid or callous comment said/written without thought or with a degree of ignorance. What may seem ""hateful"" to one person is insipid to another.","""Hate speech"" is a foolish & useless term or phrase. Almost all ""hate speech"" that I see is nothing more than a stupid or callous comment said/written without thought or with a degree of ignorance. What may seem ""hateful"" to one person is insipid to another."
R_3QWVZo0VtC2wbP5,usa,"To me, hate speech relates to someone wanting to cause harm, or restrict civil rights, from another individual.","To me, hate speech relates to someone wanting to cause harm, or restrict civil rights, from another individual."
R_2TKU20HO5d7Z8bg,usa,"Any speech that calls for physical or economical damages.  Being ""offended"" by someone exercising their freedom of speech is subjective.  Speech that 1 person may find offending may not be found offensive to someone else.","Any speech that calls for physical or economical damages.  Being ""offended"" by someone exercising their freedom of speech is subjective.  Speech that 1 person may find offending may not be found offensive to someone else."
R_1cY5J2UYhxuPJwd,usa,"Hate speech is when someone says hateful things about another person, but should not be illegal, unless the speaker is making threats of physical harm.

The idea of ""hate speech"" is a leftist propaganda tool for controlling language people use.  Hate soeech is only recognised as offensive by leftists when it concerns one of their leftist issues.  But if I report a post where hate speech is used against a conservative or a Christian, it ALWAYS gets ignored.","Hate speech is when someone says hateful things about another person, but should not be illegal, unless the speaker is making threats of physical harm.  The idea of ""hate speech"" is a leftist propaganda tool for controlling language people use.  Hate soeech is only recognised as offensive by leftists when it concerns one of their leftist issues.  But if I report a post where hate speech is used against a conservative or a Christian, it ALWAYS gets ignored."
R_27PaefZ60JSXIrO,usa,Anything I deeply disagree with but regardless they should be allowed if I don’t like what a person has to say move on,Anything I deeply disagree with but regardless they should be allowed if I don’t like what a person has to say move on
R_2fqypGVauxT3Chs,usa,"Hate speech is ""usually thought to include communications of animosity or disparagement of an individual or a group on account of a group characteristic such as race, color, national origin, sex, disability, religion, or sexual orientation"". Legal definitions of hate speech vary from country to country.","Hate speech is ""usually thought to include communications of animosity or disparagement of an individual or a group on account of a group characteristic such as race, color, national origin, sex, disability, religion, or sexual orientation"". Legal definitions of hate speech vary from country to country."
R_1CDOIKTE7saPhT3,usa,There should be nothing defined as “hate speech”. Making categories like this is very dangerous as someone or some group then has to define it. Correcting the problems we have is far too complicated to discuss in this format.,There should be nothing defined as “hate speech”. Making categories like this is very dangerous as someone or some group then has to define it. Correcting the problems we have is far too complicated to discuss in this format.
