Input.ResponseId,country,hate_definition_cleaned,hate_definition
R_1Ld0SPOnBvX9VV8,bra,"Discourses that denigrate the image, social, political and religious beliefs or that in a way threaten people","Discursos que denigram a imagem, as crenças sociais, politicas e religiosas ou que de certa forma ameacem pessoas"
R_e4BAVPW6xQSSwDv,bra,"Hate speech is something that attacks a person or group of people, minorities or not.Hate speech is not always necessarily a crime"," O discurso de ódio constitui em algo que ataca uma pessoa ou um grupo de pessoas, minorias ou não. O discurso de ódio nem sempre necessariamente é algum crime"
R_XhMjRerwmtgtdGF,bra,"Discourse against opinion, usually categorized by childish people who do not accept the opposite opinion","Discurso contra opinião, geralmente assim categorizado por pessoas infantilizadas que não aceitam a opinião contrária"
R_22PxdQJLn9GptTi,bra,"Speech that possibly incurred physical aggressions, slander about minority members (eg ""the LGBT movement supports pedophilia""), vandalism against minority ownership, hate gang formation, fascist and neo -Nazi propaganda distribution, actsof terrorism, coup attempts and genocide attempts to be popularized.","Discurso que possivelmente incorre em agressões físicas, calúnia a respeito de membros de minorias (ex.: ""o movimento LGBT apóia a pedofilia""), vandalismo contra a propriedade de minorias, formação de gangues de ódio, distribuição de propaganda fascista e neonazista, atos de terrorismo, tentativas de golpe de Estado e tentativas de genocídio ao ser popularizado."
R_1fefvgY2mMJ4DbE,bra,Extreme intolerance to a lifestyle or way of thinking specific (except for those who in essence encourage crimes or intolerance itself).,intolerância extrema a um estilo de vida ou maneira de pensar específica (exceto por aquelas que em sua essência incentivam crimes ou a própria intolerância).
R_7PWgmCU4LKoTtOF,col,A speech that presents real threats and puts the safety of personias at risk,Un discurso que presente amenazas reales y ponga en riesgo la seguridad de las personias
R_3oSElutjTQIzWIi,col,direct threats.,amenazas directas.
R_31GfbwI4Vx8wBb3,col,Text that promotes physical violence against people or institutions.,Texto que promueve la violencia física contra personas o instituciones.
R_2YXlNNm78pg3358,col,Disqualifying statements that even endanger the lives of people,Afirmaciones descalificadoras que inclusive ponen en peligro la vida de las personas
R_3MKlvLeizxFabXU,col,When it attacks other people for their way of thinking,Cuando ataca a las demás personas por su forma de pensar
R_3kFgJLCf7A3WkCb,col,When it is attentive against the integrity of people.,Cuando se atenta contra la integridad de las personas.
R_31FUCfUZrVPhGwZ,col,When he is attacker at any point,Cuando es atacante ante cualquier punto
R_3kOeFTaMBaSye2D,col,The one who intends to do damage to the person or attentive to life,Aquel que pretende se realicen daños a la persona o atenten a la vida
R_2QyQsI8MR4H2b3D,col,Hate discourse is that unpleasant and disrespectful opinion on any subject,El discurso de odio es aquella desagradable e iirespetuosa opinion sobre cualquier tema
R_2YKwGbDiQCYaWSk,col,Threatening.,Amenazante.
R_2fkRcb61anjkXgD,col,Attack and aggression,Ataque y agresion
R_1jjJvI4vuaisMfI,col,That threatens people's physical and mental integrity.,Que stente con la integridad fusica y nental de las personas.
R_vZg7Kg2i8X5mwIp,col,"Aggressive, challenging, lacking ethics","Agresivo, desafiante, falto de ética"
R_32YisSIxLtUmu8x,col,"The one who despises opinions, positions or identities, and cries out for his violent extinction","Aquel que desprecia opiniones, posiciones o identidades, y clama por su extinción violenta"
R_ApqotnppDYckUIp,col,When he starts insulting and getting something personal,Cuando empienza a insultar y meterce con algo personal
R_bNn730lkJC2Q9m9,col,Manifestation of personal dissatisfaction,Manifestación de una insatisfacción personal
R_3lKy5M5osvC8YVs,col,"When it is aggressive, threatening, use insulting words, rude, liars.","Cuando es agresivo, amenazante, usa palabras insultantes, groseras, mentirosas."
R_1dylHWScKQsgww6,col,It is done with the intention of damaging the other,Se hace con la intención de dañar al otro
R_2tGtfDrpZoJtqoy,col,I don't know,No se
R_25WMh0k5qiwevsI,col,"I define it as a way of doing evil to the person, whether physical or psychologically.","Lo defino como una manera de hacer el mal a la persona, sea física o sicológicamente."
R_302h5ilhXPKvQvp,col,Exclude and condemn punishment,Excluir y condenar a castigo
R_PvQFjKMlBRA9DEt,col,"It affects human dignity, looking for alternatives, non -destructive constructive criticisms.","Afecta la dignidad humana, buscar alternativas, criticas constructivas no destructivas."
R_xzUQdYQFLjjLJKh,col,The one who offends and manages the opinion of another directly.,El que ofende y agrede directamente la opinión de otro.
R_2QzBvd6NxXIeD2B,col,I don't know how to do offensive speeches.,No sé debe hacer discursos ofensivos.
R_XLO5xKQkgxZw2Z3,col,I better not think,Mejor no opino
R_4NuCKhiVRzsbXMJ,col,When the subject has a fixed look but baga,Cuando el sujeto tiene la mirada fija pero baga
R_3eruK7ZjRV7NpLD,col,When accusations or acts are made that invite irrational violence and without arguments.,Cuando se realizan acusaciones o actos que invitan a la violencia iracional y sin argumentos.
R_78P7ODOOZuVtjxf,col,Do not respect the opinion of others and with offncing words mention and insult you,No respetar la opinión de los demás y con palabras ofencibas te mencionan y te insultan
R_vGDaoYiiwUTugUN,col,In which expressions are used where bad or abuse things are desired,En el cual se usan expresiones donde secdesean cosas malas o de maltrato
R_3RvZmYou9G4Dpl4,col,As a speech against minorities.,Como un discurso en contra de las minorías.
R_2BrGP0Tfe6l22sl,col,Hate discourse encourages others to take actions beyond respect for legal norms,El discurso de odio alienta a otros a tomar acciones más allá del respeto de normas legales
R_1jwECuXjCWT3iWG,col,An attack on the integrity of people,un atentado contra la integridad de las personas
R_1M0bbWOtXpGKlMZ,col,freedom of expression,livertad de espresion
R_3Pt0a6P1Zso75Kc,col,Invaluable,Invaluable
R_9SLu9SoBBlUog9P,col,What I think of what happens in the country or what I don't like,Lo que pienso de lo que pasa en el país o lo que no me gusta
R_1qURGgTNrxpcGzI,col,"Message loaded with resentment, mockery, lack of empathy and respect.","Mensaje cargado de resentimiento, de burla, de falta de empatía y de respeto."
R_1OIiU4X1MTzGMUc,col,A speech that is harmful towards the individual characteristics of others,Un discurso que es lesivo hacia las características individuales de los demás
R_2Sdz3NGikNbCqgV,col,Something that is directed to another in a negative and harmful way.,Algo que vaya dirigido a otro de manera negativa y perjudicial.
R_2ydrM0CrgcVVyUl,col,He who does not respect the rights of the other.Whatever is offensive and unilateral,Aquel que no respeta los derechos del otro. Cualquiera que sea ofensivo y unilateral
R_AoC81HaUoHHD5dL,col,"Hate is synonymous with impotence, silence, abuse.","El odio es sinónimo de impotencia,silencio,abuso."
R_2dhEOKVu1fNEk9K,col,A destructive discourse that implies emotionality in an acritic way obeying purely passionate impulses and without measuring the consequences that it can have on who receives it,Un discurso destructivo que implica la emocionalidad de manera acrítica obedeciendo a impulsos puramente pasionales y sin medir las consecuencias que puede tener en quien lo recibe
R_reXgj9hzSMnwOOJ,col,"For me, a speech of hate is a message that encourages to attempt against the physical and mental integrity of other individuals, which promulgates rejection and discrimination against an individual because of their socio -economic, sex, gender, sexual orientation, ethnicity, nationality, nationality, nationality,aesthetics and among other things.However, it seems important to highlight that the healthy debate and constructive criticism of hate discourse are known, since this can be provided to censor even when you want to talk about issues with an intention for nothing destructive.","Para mí un discurso de odió es un mensaje que incita a atentar contra la integridad física y mental de otros individuos, que promulga el rechazo y la discriminación hacia un individuo por su condición socioeconómica, de sexo, género, orientación sexual, etnia, nacionalidad, estética y entre otras cosas. Sin embargo me parece importante destacar que se sepa diferenciar el debate sano y la crítica constructiva del discurso de odio, ya que ésto se puede prestar para censurar aún cuando se quiere hablar sobre temas con una intención para nada destructiva."
R_zVcVCSJF6D8N9pT,col,"When the person verbally is assaulted, they violate their rights, and also threatens, but it continues or believes an opinion or belief.","Cuando se agrede a la persona verbalmente, vulneran sus derechos, y además se le amenaza sino opina, sigue o cree una opinión o creencia."
R_2Sfx7Dthh9PNuue,col,It is a communication style that attacks or defends itself of constituted concepts and indoctrination. In large number of percentage by fanatic and rigid people. That lack an open mind and arranged to criticism or change. Very dogmatic.,"Es un estilo de comunicación que ataca o se defiende de conceptos y adoctrinamientos ya constituidos.
En gran número de porcentaje por personas fanáticas y rígidas.
Que carecen de una mente abierta y dispuesta a la crítica o el cambio.
Muy dogmáticos."
R_2Vs8VXkDVIlfW9q,col,"Hate discourse is one that directly attacks the integrity of the person, violating what is as human being and incurring directly to their beliefs, origin, thoughts, etc.","El discurso de odio es aquel que ataca directamente la integridad de la persona, vulnerando lo que es como ser humano e incurriendo directamente a sus creencias, origen, pensamientos, etc"
R_3ivZVNzNq2ZmOKp,col,"When there is a direct discrimination to a specific person or race group either because of their political, sexual, religious preferences or by belonging to a special region by directing offensively, violent, or with verbal aggressions, or derogatory images","Cuando hay una discriminación directa a un grupo específico persona o raza ya sea por sus preferencias políticas,sexuales, religiosas o por pertenecer a una región en especial dirigiéndose de forma ofensiva,violenta,o con agresiones verbales,o imágenes despectivas"
R_2BnsTUwpkUluyzE,col,"The one who attacks or mocks grotesque by rejecting other people for their religion, political ideas, nationality, skin color, sexual preferences ...","El que ataca o se burla de forma grotesca incitando a rechazar a otras personas por su religión, ideas políticas, nacionalidad, color de piel, preferencias sexuales..."
R_3CUi61XwMdfZdLR,col,It is a speech in which the resentment towards a certain fact or situation leads to the promotion of animosity towards the pamper.,Es un discurso en el cual el rencor hacia determinado hecho o situación lleva a que se promueva la animadversión hacia el mimo.
R_1jp7vkevLkqASCF,col,"When he is looking forward to the death of the person, for example, the example of the truck, that if it is really hateful, there are violent but they are not hate, only when the worst people are wished, it is hateful.","Cuando está deseando la muerte de la persona, por ejemplo, el ejemplo de la camioneta, ese si es realmente de odio, hay violentos pero no son de odio, solo cuando se le desea lo peor a la gente, es de odio."
R_sbQ9BFFLS411KWR,col,"The one who injures the identity of another in aspects such as race, socioeconomic stratum, gender, physical features, beliefs and ideology","Aquel que lesiona la identidad de otro en aspectos tales como raza, estrato socioeconómico, género, rasgos físicos, creencias e ideología"
R_sUnrJujnApoE1MZ,col,"It implies doing physical, psychological and/or moral damage to another by certain characteristics or life postures","Implica hacer daños físico, psicológico y/o moral a otro por determinadas características o posturas de vida"
R_9sFSZ6rApvVPN9T,col,Hate discourse is a speech that encourages to harm a person or community so they are,El discurso de odio es un discurso que insita a hacerle daño a una persona o comunidad por lo que son
R_BtA5WtnaN8Ie8QV,col,It is one that encourages the irrational rejection of others for the sole reason of not being similar to me.We must be clear that we all have the right to be different but that this difference is administered so that it does not offend others so that it is also respected.,Es aquel que incita al rechazo irracional de otros por la sola razón de no ser semejantes a mi. Debemos tener claro que todos tenemos derecho a ser diferentes pero que esa diferencia sea administrada de manera que no ofenda a los demas para que de igual forma sea respetada.
R_3PGGA7MDLpByr08,col,A hate speech is to give his opinion in disagreement and becoming offensive for the other person and sometimes out of place,un discurso de odio es dar su opinión en desacuerdo y llegando a ser ofensivo par las demas persona y en ocasiones fuera de lugar
R_1K9J1MTPkTNlKOp,col,"Destructive criticism that threatens the life, dignity and security of people, animals and material constructions.","Critica destructiva que atenta contra la vida, dignidad y seguridad de las personas, animales y construcciones materiales."
R_3hG5mbNNPpZxqAP,col,Those who go directly to a person with very direct very direct words and tone ups,Aquellos que se dirigen directamente a una persona con palabras muy ofensivas muy directas y subidas de tono
R_23TXbsVIwQcZ6fB,col,Words that reflect the intention of harming or destroying the integrity or symbolism of a person or system.,Palabras que reflejen la intención de hacer daño o destruir la integridad o simbolismo de una persona o sistema.
R_uh4vBkacbl7zlQt,col,Everyone has the right to express their thoughts within a framework of respect for others,Toda persona tiene el Derecho de expresar sus pensamientos dentro de un marco de respeto hacia los demás
R_2sRNeARTygyy3SN,col,"The one who seeks to offend the other, relying on his own perception or argument, regardless of the emotional or social consequences that his message contains.","Aquel que busca ofender al otro, apoyándose en su propia percepción o argumento, sin importar las consecuencias emocionales o sociales que contenga su mensaje."
R_3oGDqYmp9jPbTNo,col,"Speeches that intend to criminalize those who are different from them, by their gender, orientation or origin.Threats and signs","Discursos que pretenden criminalizar a los que son diferentes a ellos, por su género, orientación u origen. Amenazas y señalamientos"
R_2y3gc47IIIW0cFq,col,"Offensive, oppressive, insulting speech, without respect, can be criticized but with respect, we do not always agree but we must tolerate.","Discurso ofensivo, opresivo, insultante,sin respeto, se puede criticar pero con respeto, no siempre estamos de acuerdo pero hay que tolerar."
R_3FUKPgpRwP0KUpO,col,"For me it is the one who threatens life, against security, against the integrity of a person, a group or a society.","Para mi es aquel que atenta contra la vida, contra la seguridad, contra la integridad de una persona, un colectivo o una sociedad."
R_1FrK8RF6LN4g9PY,col,Subtle threats and expressed against their religion their social status his political ideology can be expressed without disturbing the other the other is myself.,Amenazas sutiles y expresadas en contra de su religión su estatus social su ideología política todo se puede expresar sin molestar al otro el otro es mi mismo.
R_12EcjpM1gPvXbXC,col,"When voluntarily attacks a person ridiculing, offending and being rude in some way.","Cuando voluntariamente ataca a una persona ridiculizando, ofendiendo y siendo grosero de alguna manera."
R_27Wljg9hHwVdfjL,col,"Use certain and punctual terms, phrases focused on misinforming, bullying in any circumstance.Languages and sectarian people that invite punishable behaviors should be restricted.Before addressing a social network, people must know their limitations, implicit responsibility must regulate the State as minimum requirements of social networks, freedom of expression must be subject to sanctions.If people incur in injury and slander disguising their freedom of expression, they must be educated, so that they relieve in spaces different from those of public access, promulgate lies must be a crime, a great crime, of Talanera, that people, before writing, transmit, manifest, think about it.Personally I do not read, I do not support, I do not listen to anything that promotes hatred, discrimination, misinformation.At this point in my life, distinguish and interpret messages and keep distance, with everything that is not assertive and not contribute to society, peaceful, ideal solutions.And I am very clear that everyone, we must assume the consequences of our behavior.","Usar términos determinados y puntuales, frases enfocadas a desinformar, bullying en cualquier circunstancia. Se deben restringir los lenguajes y personas sectarias que invitan a conductas punibles. Antes de abordar una red social, las personas deben conocer sus limitaciones, la responsabilidad implícita debe regularse del estado como requisitos mínimos de funcionamiento de las redes sociales, la libertad de expresión debe estar sujeta a la SAN CONVIVENCIA. Si las personas incurren en injuria y calumnia disfrazando su libertad de expresión, pues deben ser EDUCADAS, para que desahoguen en espacios diferentes a los de acceso público, promulgar mentiras debe ser un DELITO, GRAVISIMO, de talanera, que las personas, antes de escribir, transmitir, manifestar, lo piensen bien. Personalmente no leo, no apoyo, no escucho nada que promueva odio, discrimacion, desinformación. A estas alturas de mi vida, se distinguir e interpretar mensajes y mantengo distancia, con todo aquello que no sea asertivo y no aporte a la sociedad, soluciones pacíficas, idóneas. Y tengo muy claro que todos, debemos asumir las consecuencias de nuestra conducta."
R_2uWfjkG5lxccu1q,col,"Well, as something that is noticed that is said in order to offend or less prize the ideas or thought of someone",pues como algo que se note mucho que es dicho con el fin de ofender o menos preciar las ideas o el pensamiento de alguien
R_12M60dDzGmQbr72,col,That attempts against all personal verbal aggression and against animal human integrity or that constitutes nature or life in general.,Que atente contra toda agresión verbal personal y en contra de la integridad humana animal o que constituya a la naturaleza o vida en general.
R_1NfSQI9QVjBsKnt,col,Abuse people for their skin color and for their physique or for their work and also influence vocabulary respect first of all.,Maltrato a las personas por su color de piel y por su físico o por su trabajo y también influyevsu vocabulario respeto ante todo.
R_3p5dAUhbFjC2Xae,col,"Precisely like that, all the phrases used are loaded with this feeling, hatred against another.They seek to hurt and harm the feelings of the attacked or those attacked.It contains real rejection and is very dangerous.","Precisamente como eso, todas las frases usadas están cargadas de este sentimiento, el odio contra otro. Buscan herir y perjudicar los sentimientos del atacado o los atacados. Encierra verdadero rechazo y es muy peligroso."
R_264KDZFCIsvmtmH,col,"- When it encourages violence (physical or verbal) against the other. - When he encourages justice for his own hands - When directly or indirectly invites to kill or end the other - When words are clearly used to damage and offend the other without any empathy, respect or responsibility - When directly or indirectly the objective of the message is to feed the hatred against the other -When the private life of the other is violent to harm him When it is not an isolated or innocent opinion but clearly an invitation to act against the other to do physical damage, emotional damage, damage to your good name or any other damage","- Cuando incita a la violencia (física o verbal) contra el otro.
- Cuando incita a tomar justicia por las propias manos
- Cuando de manera directa o indirecta invita a matar o terminar con el otro
- Cuando las palabras son claramente utilizadas para dañar y ofender al otro sin ningún tipo de empatía, respeto ni responsabilidad 
- Cuando directa o indirectamente el objetivo del mensaje es alimentar el odio en contra del otro
-Cuando se violenta la vida privada del otro para hacerle daño 
Cuando no es una opinión aislada o inocente sino claramente una invitación a actuar en contra del otro para hacerle daño físico, daño emocional, daño a su buen nombre o cualquier otro daño 
"
R_2xORHk4Kocd2co4,col,"Offensive, discriminatory, racist, political positions, teasing about the physicist and the cognitive abilities of people.Etc","Mensajes ofensivos, discriminatorios, racistas, posturas políticas, burlas sobre el fisico y las capacidades cognitivas de las personasa. Etc"
R_3n2vMW0E5NXDQsV,col,"The one that is directed against an identity group defined by an immutable characteristic (skin color, religion, nationality, etc) and that calls for actions to be taken against him","Aquel que va dirigido contra un grupo identitario definido por una característica inmutable (color de piel, religión, nacionalidad, etc) y que llama a que se tomen acciones en su contra"
R_2B8M8KNLjIKzw9L,col,"A direct or indirect verbal attack on an idea or person, normally trying to show their feelings of hate about the idea or person in particular.","Un directo o indirecto ataque verbal sobre una idea o persona, tratando normalmente de hacer ver sus sentimientos de odio sobre la idea o persona en concreto."
R_3kzTJgLYnCzV5ZL,col,"Hate Speech, is one in which the dignity of a person directly is trampled, with soeses and vulgarities","Discurso de odio, es aquel en el que se pisotea la dignidad de una persona en forma directa, con palabras soeses y vulgaridades"
R_2xRBPoEBuTS1f2k,col,It is when the opinion of a person seriously injures the way of thinking of another or encourages physical or psychological aggression against other ususarians,Es cuando la opinión de una persona lesiona gravemente la forma de pensar de otra o incita a la agresión física o psicológica contra los demás ususarios
R_2CCIouuD62dkQDP,col,"It is going beyond a simple opinion, expressing an idea with offensive words, which they denigrate, that others think they can also offend.","Es ir más allá de una simple opinión, expresando una idea con palabras ofensivas, que denigren, que hagan que otros piensen que también pueden ofender."
R_2s7riiA14DCiMXg,col,"He managed the fear by the media, when a religious or military educational social social social social issue is touched or discussed that affects the ruling classes in this country always until today","El manejó del miedo por parte de los medios, cuándo se toca o se discute un tema social político económico educativo religioso o militar que afecte a las clases dominantes en este país desde siempre hasta hoy"
R_SIBOSSqpYz34ybv,col,"An offensive expression aimed at a group or individual and that is based on inherent characteristics (such as race, religion or gender) and that can endanger social peace.","Una expresión ofensiva dirigido a un grupo o individuo y que se basa en características inherentes (como son la raza, la religión o el género) y que puede poner en peligro la paz social."
R_VUvs7MLOYw1hQ0F,col,"It does not exist, the people of today are all fragile and idiot and believe that everything is personal and if so they should stop crying for what they read on the Internet.","No existe, la gente de hoy día es toda frágil e idiota y creen que todo es personal y si así lo fuera deberían dejar de llorar por lo que leen en internet."
R_1X479d1HkYGSkKt,col,"People with hate speech. They are those who find it impossible to accept the difference against creed, political race or another way of thinking.Or simply express your opinion in the face of a current issue.","Las personas con discurso de odio .Son aquellas que les resulta imposible aceptar la diferencia frente a credo , raza política o otra forma de pensar . O simplemente expresar su opinión frente a un tema de actualidad."
R_1FxLu9k5vB5TInZ,col,"Freedom: hate and love, each person expresses what he thinks, and everything lies in the person who receives discourse and his ability to assimilate","Libertad : odio y amor, cada persona expresa lo que piensa, y todo radica en la persona que que recibe el discurso y su capacidad de asimilación"
R_3lQZhY7viYdhHn4,col,The left -handed left -hander of social networks such as Facebook and Twitter of extreme left narcoultra are the ones that most distil and then the victims are made.,Los zurdos de 💩 censuradores de las redes sociales como facebook y Twitter de extrema narcoultra izquierda son los que más destilan odió y luego se hacen las víctimas.👍
R_1MMLLGrSPDK4RSD,col,"Hate discourse is an invention of the modification of the Constitution from the constituent of 1991 to steal the economic resources of the State, creating organized mafias and camouflaged in the name NGOs, which has given how the only results the segmentation of the country and theHate of classes, ... if there were no ""minority"" groups today we would be a single country and we would all be the same.But what we find is that minority groups have more rights than majority groups.And that is a serious mistake in a democracy!","El discurso de odio es un invento de la modificación de la constitución a partir de la Constituyente de 1.991 para robarse los recursos económicos del Estado, creando mafias organizadas y camufladas en el nombre ONG, que ha dado cómo único resultados la segmentación del país y el odio de clases,... Si no existieran grupos ""minoritarios"" hoy seríamos un sólo país y todos seríamos iguales. Pero lo que encontramos es que los grupos minoritarios tienen más derechos que los grupos mayoritarios. Y eso es un grave error en una Democracia!"
R_1eWutRsY2cnEH0x,col,"A speech that offends the other in every way, with violent words, in which the welfare of the other is also threatened.","UN DSICURSO QUE OFENDE AL OTRO EN TODOS LOS SENTIDOS, CON PALABRAS VIOLENTAS, EN EL QUE ADEMÁS SE AMENAZA EL BIENESTAR DEL OTRO."
R_1jcX7OvH9lNCzHE,col,"The one who intends to force a person, to think to act and accept without the right to criticizes and freely express his opinion and position in as a particular subject.","Aquel que pretende obligar a una persona ,a pensar actuar y aceptar sin derecho a critica y expresar libremente su opinión y postura en cuánto a un tema en particular."
R_ULuw1Zx9m2wLwbf,col,"A hate speech is that with offensive words that encourage discord and defamation of people, slander, as my president Uribe has been victim, many bad things have been said about him, but anything has never been proven,This shows that everything is a hate speech.","Un discurso de odio es aquel con palabras ofensivas que incitan a la discordia y a la difamación de personas, a la calumnia, como del que ha sido víctima mi presidente Uribe, muchas cosas malas se han dicho de él, pero nunca se ha comprobado nada, esto demuestra que todo es un discurso de odio.
"
R_3emZMQ6FvJmT25J,pol,"Offends the views of others, their appearance, family, calls to abuse animals,","Obraża poglądy innych, ich wygląd, rodzinę, nawołuje do maltretowania zwierząt,"
R_27kZC0jHOfnwopN,pol,True.,prawda.
R_2zeScxwPvGHZ0KT,pol,Calling to any discrimination,Nawoływanie do jakiejkolwiek dyskryminacji
R_3rN8Yk6BFIrviUh,pol,"""It's not people is ideology"" - PiS",",,To nie ludzie to ideologia"" - pis"
R_3QW5pYZ7vK5D0J8,pol,Content encouraging people to harmful actions towards others or themselves.,Treści zachęcające ludzi do szkodliwych działań wobec innych lub siebie.
R_9mlLZLzLrLZG0rn,pol,Insulting someone but it is an exaggerated statement,Obrażanie kogoś ale jest to wyolbrzymione stwierdzenia
R_723PipleFnkBRG9,pol,Speech in which hatred of a certain group of people is expressed.,"Mowa, w której wyraża się nienawiść do pewnej grupy osób."
R_PTfXNxlIqY5OdPP,pol,Individual people writing potentially offensive phrases or opinions do not spread hate speech.,"
Pojedyncze osoby wypisujące potencjalnie obraźliwe frazesy lub opinie, nie szerzą mowy nienawiści."
R_2uPuMZwZvq76e7X,pol,Direct call for mental and physical harm to other entities.,Bezpośrednie nawoływanie do wyrządzania krzywdy psychicznej oraz fizycznej innym podmiotom.
R_3DnfcOKtb8PBHuR,pol,This is a call to perform criminal acts towards other people,To nawoływanie do pełnienia czynów karalnych względem innych osób
R_1EXUYeczZlK45NH,pol,Speech depressing a given social group.,Mowa deprymująca daną grupę społeczną.
R_2rvaKaQoVkiy6Jr,pol,Rasimzm,Rasimzm
R_1Nkysku4eUqOjeg,pol,"calling to kill, beating, imprisoning someone, calling to war","nawoływanie do zabicia, pobicia, uwięzienia kogoś, nawoływanie do wojny"
